id,registro_id,usuario_id,tipo,fecha
1,134,18,cotización,2026-02-26
2,95,18,reunión,2026-03-06
3,131,15,cambio_estado,2026-03-06
4,131,15,llamada,2026-03-07
5,131,15,cotización,2026-03-10
6,102,13,correo,2026-03-12
7,156,13,nota,2026-03-12
8,88,10,reunión,2026-03-14
9,132,10,cambio_estado,2026-03-16
10,121,13,nota,2026-03-17
11,121,13,correo,2026-03-18
12,132,10,nota,2026-03-18
13,93,4,llamada,2026-03-19
14,145,8,whatsapp,2026-03-19
15,152,6,llamada,2026-03-20
16,152,6,cotización,2026-03-21
17,145,8,llamada,2026-03-23
18,155,8,nota,2026-03-23
19,88,10,cambio_estado,2026-03-24
20,93,4,cambio_estado,2026-03-26
21,145,8,whatsapp,2026-03-28
22,93,4,correo,2026-03-29
23,96,4,correo,2026-03-29
24,124,13,whatsapp,2026-03-29
25,131,15,cotización,2026-03-30
26,95,18,correo,2026-03-31
27,156,13,whatsapp,2026-03-31
28,86,3,llamada,2026-04-01
29,128,18,llamada,2026-04-01
30,86,3,llamada,2026-04-03
31,152,6,whatsapp,2026-04-03
32,123,17,cambio_estado,2026-04-06
33,152,6,correo,2026-04-06
34,88,10,llamada,2026-04-07
35,155,8,llamada,2026-04-07
36,145,8,whatsapp,2026-04-08
37,88,10,correo,2026-04-09
38,124,13,reunión,2026-04-09
39,145,8,whatsapp,2026-04-09
40,123,17,correo,2026-04-14
41,135,13,cotización,2026-04-15
42,109,10,llamada,2026-04-16
43,109,10,nota,2026-04-16
44,126,15,llamada,2026-04-17
45,83,14,nota,2026-04-19
46,120,16,whatsapp,2026-04-19
47,84,17,cambio_estado,2026-04-21
48,84,17,reunión,2026-04-22
49,86,3,reunión,2026-04-22
50,86,3,nota,2026-04-22
51,91,14,reunión,2026-04-22
52,123,17,correo,2026-04-22
53,123,17,nota,2026-04-24
54,164,4,llamada,2026-04-24
55,109,10,correo,2026-04-26
56,83,14,correo,2026-04-27
57,114,3,whatsapp,2026-04-28
58,123,17,llamada,2026-04-28
59,81,13,llamada,2026-05-01
60,106,10,llamada,2026-05-01
61,114,3,correo,2026-05-01
62,122,3,llamada,2026-05-01
63,147,16,llamada,2026-05-01
64,112,18,nota,2026-05-02
65,144,18,llamada,2026-05-02
66,144,18,nota,2026-05-02
67,106,10,nota,2026-05-03
68,122,3,nota,2026-05-03
69,77,3,cambio_estado,2026-05-04
70,83,14,cambio_estado,2026-05-05
71,91,14,correo,2026-05-05
72,112,18,whatsapp,2026-05-06
73,109,10,whatsapp,2026-05-08
74,122,3,whatsapp,2026-05-08
75,144,18,cambio_estado,2026-05-08
76,146,8,correo,2026-05-08
77,81,13,correo,2026-05-09
78,91,14,cambio_estado,2026-05-10
79,81,13,llamada,2026-05-11
80,89,14,cambio_estado,2026-05-12
81,89,14,llamada,2026-05-12
82,114,3,llamada,2026-05-12
83,106,10,cambio_estado,2026-05-13
84,142,18,whatsapp,2026-05-13
85,142,18,reunión,2026-05-13
86,146,8,correo,2026-05-13
87,160,13,nota,2026-05-13
88,164,4,llamada,2026-05-15
89,75,18,llamada,2026-05-16
90,83,14,reunión,2026-05-16
91,94,4,correo,2026-05-16
92,143,10,llamada,2026-05-16
93,81,13,whatsapp,2026-05-18
94,91,14,cambio_estado,2026-05-18
95,75,18,cambio_estado,2026-05-20
96,114,3,whatsapp,2026-05-21
97,146,8,whatsapp,2026-05-21
98,75,18,correo,2026-05-22
99,83,14,nota,2026-05-22
100,142,18,cambio_estado,2026-05-25
101,130,8,llamada,2026-05-27
102,130,8,cambio_estado,2026-05-27
103,80,14,nota,2026-05-28
104,151,8,whatsapp,2026-05-29
105,163,4,llamada,2026-05-29
106,85,15,correo,2026-05-30
107,80,14,cotización,2026-06-01
108,85,15,reunión,2026-06-03
109,110,18,whatsapp,2026-06-03
110,99,17,llamada,2026-06-04
111,110,18,nota,2026-06-04
112,72,18,llamada,2026-06-05
113,99,17,whatsapp,2026-06-05
114,80,14,llamada,2026-06-06
115,99,17,correo,2026-06-06
116,110,18,cambio_estado,2026-06-06
117,163,4,cotización,2026-06-06
118,80,14,cambio_estado,2026-06-07
119,75,18,cambio_estado,2026-06-08
120,163,4,llamada,2026-06-08
121,75,18,llamada,2026-06-09
122,146,8,correo,2026-06-09
123,80,14,correo,2026-06-11
124,111,8,nota,2026-06-12
