issue_id,table_name,row_id,source_row,field_name,issue_type,severity,original_value,normalized_value,message,recommended_action,is_blocking
DQ-00001,usuarios,1,2,capacidad_maxima,missing_value,warning,,,usuarios.capacidad_maxima: missing_value,Review source and business rule; retain row,True
DQ-00002,usuarios,6,7,capacidad_maxima,missing_value,warning,,,usuarios.capacidad_maxima: missing_value,Review source and business rule; retain row,True
DQ-00003,usuarios,14,15,fecha_ingreso,missing_value,warning,,,usuarios.fecha_ingreso: missing_value,Review source and business rule; retain row,False
DQ-00004,usuarios,18,19,zona,missing_value,warning,,,usuarios.zona: missing_value,Review source and business rule; retain row,True
DQ-00005,equipos,5,6,lider_id,missing_value,warning,,,equipos.lider_id: missing_value,Review source and business rule; retain row,False
DQ-00006,registros,3,4,zona,missing_value,warning,,,registros.zona: missing_value,Review source and business rule; retain row,True
DQ-00007,registros,6,7,empleados,missing_value,warning,,,registros.empleados: missing_value,Review source and business rule; retain row,False
DQ-00008,registros,8,9,sector,missing_value,warning,,,registros.sector: missing_value,Review source and business rule; retain row,True
DQ-00009,registros,10,11,ingresos_estimados,missing_value,warning,,,registros.ingresos_estimados: missing_value,Review source and business rule; retain row,False
DQ-00010,registros,11,12,notas,missing_value,warning,,,registros.notas: missing_value,Review source and business rule; retain row,False
DQ-00011,registros,12,13,zona,missing_value,warning,,,registros.zona: missing_value,Review source and business rule; retain row,True
DQ-00012,registros,14,15,notas,missing_value,warning,,,registros.notas: missing_value,Review source and business rule; retain row,False
DQ-00013,registros,15,16,empleados,missing_value,warning,,,registros.empleados: missing_value,Review source and business rule; retain row,False
DQ-00014,registros,17,18,fecha_creacion,future_date,warning,2026-09-19,2026-09-19,registros.fecha_creacion: future_date,Review source and business rule; retain row,False
DQ-00015,registros,18,19,notas,missing_value,warning,,,registros.notas: missing_value,Review source and business rule; retain row,False
DQ-00016,registros,23,24,sector,missing_value,warning,,,registros.sector: missing_value,Review source and business rule; retain row,True
DQ-00017,registros,23,24,notas,missing_value,warning,,,registros.notas: missing_value,Review source and business rule; retain row,False
