id,razon_social,nit,sector,empleados,ingresos_estimados,ciudad,zona,fuente,notas,estado,fecha_creacion
1,Servicios Girardot S.A.,986386194-1,Metalmecánica,8,1866000000,Montería,Costa,campaña,"Ya fue cliente en 2023, se retiró por precio.",nuevo,2026-09-14
2,COMERCIALIZADORA ANDINA SAS,955278388-6,Salud,40,2156000000,Palmira,Occidente ,web,"Ya fue cliente en 2023, se retiró por precio.",nuevo,2026-09-04
3,Industrias Andina S.A.S.,971051611-7,Alimentos y bebidas,260,7418000000,Manizales,,web,"Dejó los datos en el stand de la feria, mostró poco interés.",nuevo,2026-09-06
4,Constructora Caribe Azul Ltda.,906660734-7,Retail,40,1967000000,Manizales,Occidente,web,Llamar únicamente después de las 2 pm.,nuevo,2026-09-07
5,Distribuidora La Esperanza Ltda.,902379388-8,Hotelería,260,10591000000,Envigado,Antioquia,campaña,"Registro cargado desde base comprada, sin validar.",Nuevo,2026-09-14
6,Suministros Vallecaucana Ltda.,947471833-6,Metalmecánica,,335000000,Montería,COSTA,campaña,"Empresa familiar, decide el dueño directamente.",nuevo,2026-09-16
7,Grupo El Poblado S.A.,955391250-2,Manufactura,18,2186000000,Cali,Occidente,evento,"Registro cargado desde base comprada, sin validar.",nuevo,2026-09-09
8,Manufacturas El Dorado S.A.,926716388-5,,1400,52722000000,Medellín,Antioquia,referido,Pidió que lo contacte alguien que conozca el sector.,nuevo,2026-09-05
9,Soluciones Yumbo S.A.S.,999820933-4,Química,120,3432000000,Envigado,ANT,web,"Correo rebotado, el celular sí contesta.",nuevo,2026-09-08
10,Textiles La Esperanza S.A.,900326803-8,Alimentos y bebidas,650,,Envigado,antioquia,evento,"Empresa familiar, decide el dueño directamente.",nuevo,2026-09-05
11,Inversiones Santa Bárbara S.A.,998282196-0,Retail,25,1273000000,Chía,Centro,campaña,,nuevo,2026-09-09
12,Servicios Orinoquía S.A.S.,989677417-0,Textil,18,1965000000,Armenia,,campaña,"Está comparando tres propuestas, decide este mes.",nuevo,2026-09-05
13,Agropecuaria Vallecaucana S.A.S.,984201894-7,Agroindustria,12,696000000,Bogotá,Centro,referido,Tiene contrato vigente con otro proveedor hasta diciembre.,nuevo,2026-09-07
14,Textiles La Candelaria S. en C.,927559793-0,Servicios profesionales,80,6122000000,Medellín,ANT,campaña,,nuevo,2026-09-07
15,Soluciones Monserrate S.A.S.,916531782-4,Construcción,,1973000000,Cali,Occidente,lista,"Registro cargado desde base comprada, sin validar.",nuevo,2026-09-09
16,Comercializadora Las Palmas S.A.,951251562-0,Retail,260,17689000000,Cali,Occidente ,web,Solicitó información de eficiencia energética para planta nueva.,nuevo,2026-09-08
17,Suministros Girardot S.A.,991596286-5,Inmobiliario,260,11298000000,Santa Marta,costa,evento,"Está comparando tres propuestas, decide este mes.",nuevo,2026-09-19
18,Constructora Tequendama S.A.,914599415-4,Agroindustria,260,11142000000,Bogotá,Centro,lista,,nuevo,2026-09-14
19,Inversiones Bolívar Ltda.,913615084-7,Minería,80,3828000000,Bucaramanga,centro,referido,"Quiere propuesta para siete sedes, no para una.",nuevo,2026-09-16
20,Manufacturas Zipaquirá S. en C.,912479572-8,Minería,120,4224000000,Bogotá,centro,evento,"Quiere propuesta para siete sedes, no para una.",Nuevo,2026-09-15
21,Alimentos Monserrate S.A.S.,985662566-9,Química,80,6487000000,Bogotá,centro,referido,Lo refirió el gerente de una cuenta actual.,nuevo,2026-09-16
