id,razon_social,nit,sector,empleados,ingresos_estimados,ciudad,zona,fuente,notas,estado,fecha_creacion,_source_row,id_original,id_normalizado,id_normalization_rule,id_was_inferred,razon_social_original,razon_social_normalizado,razon_social_normalization_rule,razon_social_was_inferred,nit_original,nit_normalizado,nit_normalization_rule,nit_was_inferred,sector_original,sector_normalizado,sector_normalization_rule,sector_was_inferred,empleados_original,empleados_normalizado,empleados_normalization_rule,empleados_was_inferred,ingresos_estimados_original,ingresos_estimados_normalizado,ingresos_estimados_normalization_rule,ingresos_estimados_was_inferred,ciudad_original,ciudad_normalizado,ciudad_normalization_rule,ciudad_was_inferred,zona_original,zona_normalizada,zona_normalization_rule,zona_was_inferred,fuente_original,fuente_normalizado,fuente_normalization_rule,fuente_was_inferred,notas_original,notas_normalizado,notas_normalization_rule,notas_was_inferred,estado_original,estado_normalizado,estado_normalization_rule,estado_was_inferred,fecha_creacion_original,fecha_creacion_normalizado,fecha_creacion_normalization_rule,fecha_creacion_was_inferred
1,Servicios Girardot S.A.,986386194-1,Metalmecánica,8,1866000000,Montería,Costa,campaña,"Ya fue cliente en 2023, se retiró por precio.",nuevo,2026-09-14,2,1,1,trim_unicode_nfc,False,Servicios Girardot S.A.,Servicios Girardot S.A.,trim_unicode_nfc,False,986386194-1,9863861941,nit_remove_formatting,False,Metalmecánica,metalmecánica,trim_unicode_casefold,False,8,8,nonnegative_decimal,False,1866000000,1866000000,nonnegative_decimal,False,Montería,Montería,trim_unicode_nfc,False,Costa,Costa,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,"Ya fue cliente en 2023, se retiró por precio.","Ya fue cliente en 2023, se retiró por precio.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-14,2026-09-14,iso_date,False
2,COMERCIALIZADORA ANDINA SAS,955278388-6,Salud,40,2156000000,Palmira,Occidente ,web,"Ya fue cliente en 2023, se retiró por precio.",nuevo,2026-09-04,3,2,2,trim_unicode_nfc,False,COMERCIALIZADORA ANDINA SAS,COMERCIALIZADORA ANDINA SAS,trim_unicode_nfc,False,955278388-6,9552783886,nit_remove_formatting,False,Salud,salud,trim_unicode_casefold,False,40,40,nonnegative_decimal,False,2156000000,2156000000,nonnegative_decimal,False,Palmira,Palmira,trim_unicode_nfc,False,Occidente ,Occidente,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,"Ya fue cliente en 2023, se retiró por precio.","Ya fue cliente en 2023, se retiró por precio.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-04,2026-09-04,iso_date,False
3,Industrias Andina S.A.S.,971051611-7,Alimentos y bebidas,260,7418000000,Manizales,,web,"Dejó los datos en el stand de la feria, mostró poco interés.",nuevo,2026-09-06,4,3,3,trim_unicode_nfc,False,Industrias Andina S.A.S.,Industrias Andina S.A.S.,trim_unicode_nfc,False,971051611-7,9710516117,nit_remove_formatting,False,Alimentos y bebidas,alimentos y bebidas,trim_unicode_casefold,False,260,260,nonnegative_decimal,False,7418000000,7418000000,nonnegative_decimal,False,Manizales,Manizales,trim_unicode_nfc,False,,,missing,False,web,web,trim_unicode_casefold,False,"Dejó los datos en el stand de la feria, mostró poco interés.","Dejó los datos en el stand de la feria, mostró poco interés.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-06,2026-09-06,iso_date,False
4,Constructora Caribe Azul Ltda.,906660734-7,Retail,40,1967000000,Manizales,Occidente,web,Llamar únicamente después de las 2 pm.,nuevo,2026-09-07,5,4,4,trim_unicode_nfc,False,Constructora Caribe Azul Ltda.,Constructora Caribe Azul Ltda.,trim_unicode_nfc,False,906660734-7,9066607347,nit_remove_formatting,False,Retail,retail,trim_unicode_casefold,False,40,40,nonnegative_decimal,False,1967000000,1967000000,nonnegative_decimal,False,Manizales,Manizales,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,Llamar únicamente después de las 2 pm.,Llamar únicamente después de las 2 pm.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-07,2026-09-07,iso_date,False
5,Distribuidora La Esperanza Ltda.,902379388-8,Hotelería,260,10591000000,Envigado,Antioquia,campaña,"Registro cargado desde base comprada, sin validar.",Nuevo,2026-09-14,6,5,5,trim_unicode_nfc,False,Distribuidora La Esperanza Ltda.,Distribuidora La Esperanza Ltda.,trim_unicode_nfc,False,902379388-8,9023793888,nit_remove_formatting,False,Hotelería,hotelería,trim_unicode_casefold,False,260,260,nonnegative_decimal,False,10591000000,10591000000,nonnegative_decimal,False,Envigado,Envigado,trim_unicode_nfc,False,Antioquia,Antioquia,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",trim_unicode_nfc,False,Nuevo,nuevo,trim_casefold_status,False,2026-09-14,2026-09-14,iso_date,False
6,Suministros Vallecaucana Ltda.,947471833-6,Metalmecánica,,335000000,Montería,COSTA,campaña,"Empresa familiar, decide el dueño directamente.",nuevo,2026-09-16,7,6,6,trim_unicode_nfc,False,Suministros Vallecaucana Ltda.,Suministros Vallecaucana Ltda.,trim_unicode_nfc,False,947471833-6,9474718336,nit_remove_formatting,False,Metalmecánica,metalmecánica,trim_unicode_casefold,False,,,missing,False,335000000,335000000,nonnegative_decimal,False,Montería,Montería,trim_unicode_nfc,False,COSTA,Costa,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-16,2026-09-16,iso_date,False
7,Grupo El Poblado S.A.,955391250-2,Manufactura,18,2186000000,Cali,Occidente,evento,"Registro cargado desde base comprada, sin validar.",nuevo,2026-09-09,8,7,7,trim_unicode_nfc,False,Grupo El Poblado S.A.,Grupo El Poblado S.A.,trim_unicode_nfc,False,955391250-2,9553912502,nit_remove_formatting,False,Manufactura,manufactura,trim_unicode_casefold,False,18,18,nonnegative_decimal,False,2186000000,2186000000,nonnegative_decimal,False,Cali,Cali,trim_unicode_nfc,False,Occidente,Occidente,explicit_zone_alias,False,evento,evento,trim_unicode_casefold,False,"Registro cargado desde base comprada, sin validar.","Registro cargado desde base comprada, sin validar.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-09,2026-09-09,iso_date,False
8,Manufacturas El Dorado S.A.,926716388-5,,1400,52722000000,Medellín,Antioquia,referido,Pidió que lo contacte alguien que conozca el sector.,nuevo,2026-09-05,9,8,8,trim_unicode_nfc,False,Manufacturas El Dorado S.A.,Manufacturas El Dorado S.A.,trim_unicode_nfc,False,926716388-5,9267163885,nit_remove_formatting,False,,,missing,False,1400,1400,nonnegative_decimal,False,52722000000,52722000000,nonnegative_decimal,False,Medellín,Medellín,trim_unicode_nfc,False,Antioquia,Antioquia,explicit_zone_alias,False,referido,referido,trim_unicode_casefold,False,Pidió que lo contacte alguien que conozca el sector.,Pidió que lo contacte alguien que conozca el sector.,trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-05,2026-09-05,iso_date,False
9,Soluciones Yumbo S.A.S.,999820933-4,Química,120,3432000000,Envigado,ANT,web,"Correo rebotado, el celular sí contesta.",nuevo,2026-09-08,10,9,9,trim_unicode_nfc,False,Soluciones Yumbo S.A.S.,Soluciones Yumbo S.A.S.,trim_unicode_nfc,False,999820933-4,9998209334,nit_remove_formatting,False,Química,química,trim_unicode_casefold,False,120,120,nonnegative_decimal,False,3432000000,3432000000,nonnegative_decimal,False,Envigado,Envigado,trim_unicode_nfc,False,ANT,Antioquia,explicit_zone_alias,False,web,web,trim_unicode_casefold,False,"Correo rebotado, el celular sí contesta.","Correo rebotado, el celular sí contesta.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-08,2026-09-08,iso_date,False
10,Textiles La Esperanza S.A.,900326803-8,Alimentos y bebidas,650,,Envigado,antioquia,evento,"Empresa familiar, decide el dueño directamente.",nuevo,2026-09-05,11,10,10,trim_unicode_nfc,False,Textiles La Esperanza S.A.,Textiles La Esperanza S.A.,trim_unicode_nfc,False,900326803-8,9003268038,nit_remove_formatting,False,Alimentos y bebidas,alimentos y bebidas,trim_unicode_casefold,False,650,650,nonnegative_decimal,False,,,missing,False,Envigado,Envigado,trim_unicode_nfc,False,antioquia,Antioquia,explicit_zone_alias,False,evento,evento,trim_unicode_casefold,False,"Empresa familiar, decide el dueño directamente.","Empresa familiar, decide el dueño directamente.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-05,2026-09-05,iso_date,False
11,Inversiones Santa Bárbara S.A.,998282196-0,Retail,25,1273000000,Chía,Centro,campaña,,nuevo,2026-09-09,12,11,11,trim_unicode_nfc,False,Inversiones Santa Bárbara S.A.,Inversiones Santa Bárbara S.A.,trim_unicode_nfc,False,998282196-0,9982821960,nit_remove_formatting,False,Retail,retail,trim_unicode_casefold,False,25,25,nonnegative_decimal,False,1273000000,1273000000,nonnegative_decimal,False,Chía,Chía,trim_unicode_nfc,False,Centro,Centro,explicit_zone_alias,False,campaña,campaña,trim_unicode_casefold,False,,,missing,False,nuevo,nuevo,trim_casefold_status,False,2026-09-09,2026-09-09,iso_date,False
12,Servicios Orinoquía S.A.S.,989677417-0,Textil,18,1965000000,Armenia,,campaña,"Está comparando tres propuestas, decide este mes.",nuevo,2026-09-05,13,12,12,trim_unicode_nfc,False,Servicios Orinoquía S.A.S.,Servicios Orinoquía S.A.S.,trim_unicode_nfc,False,989677417-0,9896774170,nit_remove_formatting,False,Textil,textil,trim_unicode_casefold,False,18,18,nonnegative_decimal,False,1965000000,1965000000,nonnegative_decimal,False,Armenia,Armenia,trim_unicode_nfc,False,,,missing,False,campaña,campaña,trim_unicode_casefold,False,"Está comparando tres propuestas, decide este mes.","Está comparando tres propuestas, decide este mes.",trim_unicode_nfc,False,nuevo,nuevo,trim_casefold_status,False,2026-09-05,2026-09-05,iso_date,False
