seller_id,assigned_count,in_management_count,open_workload,maximum_capacity,remaining_capacity,utilization,availability_status,eligibility_reasons,workload_original,workload_was_inferred,workload_rule,capacity_original,capacity_rule
2,0,0,0,40,40,0.0,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,40,nonnegative_decimal
3,1,4,5,35,30,0.14285714285714285,absent,"[""ABSENT""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,35,nonnegative_decimal
4,5,3,8,35,27,0.22857142857142856,inactive,"[""INACTIVE_OR_UNKNOWN""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,35,nonnegative_decimal
5,0,0,0,45,45,0.0,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,45,nonnegative_decimal
6,0,3,3,,,,available,"[""CAPACITY_UNDEFINED""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,,missing
7,0,3,3,0,0,,available,"[""ZERO_CAPACITY""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,0,nonnegative_decimal
8,1,10,11,45,34,0.24444444444444444,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,45,nonnegative_decimal
9,0,0,0,40,40,0.0,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,40,nonnegative_decimal
10,3,5,8,40,32,0.2,absent,"[""ABSENT""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,40,nonnegative_decimal
11,1,0,1,40,39,0.025,absent,"[""ABSENT""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,40,nonnegative_decimal
12,0,0,0,38,38,0.0,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,38,nonnegative_decimal
13,4,4,8,38,30,0.21052631578947367,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,38,nonnegative_decimal
14,4,4,8,38,30,0.21052631578947367,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,38,nonnegative_decimal
15,5,1,6,42,36,0.14285714285714285,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,42,nonnegative_decimal
16,2,2,4,42,38,0.09523809523809523,available,[],,True,active_record_statuses_at_inferred_historical_owner; not activity count,42,nonnegative_decimal
17,1,2,3,42,39,0.07142857142857142,available,"[""INVALID_TEAM""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,42,nonnegative_decimal
18,3,5,8,35,27,0.22857142857142856,available,"[""MISSING_ZONE""]",,True,active_record_statuses_at_inferred_historical_owner; not activity count,35,nonnegative_decimal
